seq_code	Collection	spp	pop	collection_date	country	lat	lon
L01	Juan	bienne	PdV	NA	France	43.25533	6.23802
L02	Juan	bienne	PdV	NA	France	43.25533	6.23802
L03	Juan	bienne	PdV	NA	France	43.25533	6.23802
L04	Portsmouth	bienne	Bro	7/4/2016	France	47.1670388888889	-0.20705
L05	Portsmouth	bienne	Bro	7/4/2016	France	47.1670388888889	-0.20705
L06	Portsmouth	bienne	BH	7/9/2017	UK	50.4004333333333	-3.4926
L07	Portsmouth	bienne	BH	7/9/2017	UK	50.4004333333333	-3.4926
L08	Portsmouth	bienne	19	7/15/2016	Spain	42.1708861111111	-8.68381944444444
L09	Portsmouth	bienne	19	NA	Spain	42.1708861111111	-8.68381944444444
L10	Portsmouth	bienne	15	6/20/2016	Spain	43.4627833333333	-3.65330833333333
L11	Portsmouth	bienne	15	6/20/2016	Spain	43.4627833333333	-3.65330833333333
L12	Portsmouth	bienne	14	6/20/2016	Spain	42.7940388888889	-3.42474444444444
L13	Portsmouth	bienne	14	6/20/2016	Spain	42.7940388888889	-3.42474444444444
L14	Portsmouth	bienne	13	6/19/2016	Spain	43.0290166666667	-3.24035
L15	Portsmouth	bienne	13	6/19/2016	Spain	43.0290166666667	-3.24035
L17	Portsmouth	bienne	11	6/14/2016	Spain	38.3310527777778	-3.58085555555556
L18	Portsmouth	bienne	12	6/17/2016	Spain	42.3100833333333	3.15188888888889
L19	Portsmouth	bienne	11	6/14/2016	Spain	38.3310527777778	-3.58085555555556
L20	Portsmouth	bienne	10	6/9/2016	Spain	37.8821111111111	-6.61780555555556
L21	Portsmouth	bienne	10	6/9/2016	Spain	37.8821111111111	-6.61780555555556
L22	Portsmouth	bienne	9	6/9/2016	Spain	37.8085	-6.42880555555556
L23	Portsmouth	bienne	9	6/9/2016	Spain	37.8085	-6.42880555555556
L24	Portsmouth	bienne	8	6/8/2016	Spain	37.7019444444444	-5.83205555555556
L25	Portsmouth	bienne	8	6/8/2016	Spain	37.7019444444444	-5.83205555555556
L26	Portsmouth	bienne	7	6/8/2016	Spain	38.2533611111111	-4.31738888888889
L27	Portsmouth	bienne	7	6/8/2016	Spain	38.2533611111111	-4.31738888888889
L28	Portsmouth	bienne	6	6/8/2016	Spain	37.9355111111111	-5.71117222222222
L29	Portsmouth	bienne	6	6/8/2016	Spain	37.9355111111111	-5.71117222222222
L30	Portsmouth	bienne	5	6/7/2016	Spain	37.2585277777778	-6.09722222222222
L31	Portsmouth	bienne	5	6/7/2016	Spain	37.2585277777778	-6.09722222222222
L32	Portsmouth	bienne	4	6/5/2016	Spain	36.1508333333333	-5.70494444444444
L33	Portsmouth	bienne	4	6/5/2016	Spain	36.1508333333333	-5.70494444444444
L34	Portsmouth	bienne	3	6/5/2016	Spain	36.0363333333333	-5.55588888888889
L35	Portsmouth	bienne	3	6/5/2016	Spain	36.0363333333333	-5.55588888888889
L36	Portsmouth	bienne	2	6/5/2016	Spain	36.0809166666667	-5.62552777777778
L37	Portsmouth	bienne	2	6/5/2016	Spain	36.0809166666667	-5.62552777777778
L38	Portsmouth	bienne	1	6/4/2016	Spain	36.8004444444444	-5.39258333333333
L39	Portsmouth	bienne	1	6/4/2016	Spain	36.8004444444444	-5.39258333333333
L40	Portsmouth	bienne	1	6/4/2016	Spain	36.8004444444444	-5.39258333333333
L41	Portsmouth	bienne	Sut	9/9/2016	UK	53.3529111111111	-0.959269444444444
L42	Portsmouth	bienne	Sut	9/9/2016	UK	53.3529111111111	-0.959269444444444
L43	Portsmouth	bienne	Tal	7/6/2016	France	47.6997	-3.45465
L44	Portsmouth	bienne	Tal	7/6/2016	France	47.6997	-3.45465
L45	Portsmouth	bienne	Tym	9/2/2016	UK	53.3030722222222	-3.55328055555556
L46	Portsmouth	bienne	Tym	9/2/2016	UK	53.3030722222222	-3.55328055555556
L47	Portsmouth	bienne	Vil	7/2/2016	France	45.0939305555556	-1.05033888888889
L48	Portsmouth	bienne	Saf	7/5/2016	Spain	47.4961	-1.59253888888889
L49	Portsmouth	bienne	Vil	7/2/2016	France	45.0939305555556	-1.05033888888889
L50	Portsmouth	bienne	Saf	7/5/2016	Spain	47.4961	-1.59253888888889
L51	Portsmouth	bienne	Roc	7/4/2016	France	47.3870194444444	-0.525738888888889
L52	Portsmouth	bienne	Roc	7/4/2016	France	47.3870194444444	-0.525738888888889
L53	Portsmouth	bienne	Mat	6/29/2016	France	48.3569694444444	4.45863055555556
L54	Portsmouth	bienne	Mat	6/29/2016	France	48.3569694444444	4.45863055555556
L55	Portsmouth	bienne	Mat	6/29/2016	France	48.3569694444444	4.45863055555556
L56	Portsmouth	bienne	Man	9/10/2016	UK	53.1373111111111	-1.14366944444444
L57	Portsmouth	bienne	Man	9/10/2016	UK	53.1373111111111	-1.14366944444444
L58	Portsmouth	bienne	Lla	7/21/2014	Spain	43.407375	-4.68752777777778
L59	Portsmouth	bienne	Lla	7/21/2014	Spain	43.407375	-4.68752777777778
L60	Portsmouth	bienne	LJLb1	NA	Spain	38.221069	-2.45397
L61	Portsmouth	bienne	LJLb1	NA	Spain	38.221069	-2.45397
L62	Portsmouth	bienne	Lil	7/9/2017	UK	51.2016666666667	-3.18693333333333
L63	Portsmouth	bienne	Lil	7/9/2017	UK	51.2016666666667	-3.18693333333333
L64	Portsmouth	bienne	IOW2	9/24/2016	UK	50.6818333333333	-1.07491666666667
L65	Portsmouth	bienne	IOW2	9/24/2016	UK	50.6818333333333	-1.07491666666667
L66	Portsmouth	bienne	CR	7/8/2017	UK	51.2779333333333	-2.79501666666667
L67	Portsmouth	bienne	CR	7/8/2017	UK	51.2779333333333	-2.79501666666667
L68	Portsmouth	bienne	CGa1	6/6/2017	Italy	38.2165	13.3218333333333
L69	Portsmouth	bienne	CGa1	6/6/2017	Italy	38.2165	13.3218333333333
L70	Warwick	usitatissimum	M072	NA	Russia	55	103
L71	Warwick	usitatissimum	M073	NA	Kazakhstan	48.005284	66.9045434
L72	Warwick	usitatissimum	M074	NA	Ukraine	48.383022	31.1828699
L73	Warwick	usitatissimum	M075	NA	Ukraine	48.383022	31.1828699
L74	Warwick	usitatissimum	M076	NA	Kazakhstan	48.005284	66.9045434
L75	Warwick	bienne	W65	NA	Croatia	44.0541648864746	16.6944446563721
L76	Warwick	bienne	W70	NA	Greece	40.0427780151367	20.4488887786865
L77	Warwick	bienne	W72	NA	Greece	39.1049995422363	21.2147216796875
L78	Warwick	bienne	W74	NA	Greece	39.1236114501953	22.0236110687256
L79	Warwick	bienne	W76	NA	Greece	39.9155540466309	21.7997226715088
L80	Warwick	bienne	W77	NA	Greece	40.0875015258789	21.7222213745117
L81	Warwick	bienne	W81	NA	Greece	40.5236129760742	23.9347229003906
