Individual	seq_code	Collection	spp	pop	collection_date	country	lat	lon	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Average_Depth	ida	population
L1	L01	Juan	bienne	PdV	NA	France	43.25533	6.23802	9.9999999939e-10	9.9999999939e-10	9.9999999939e-10	9.9999999939e-10	0.999999996	1.3440194724388	L1_sorted.bam	5
L10	L10	Portsmouth	bienne	15	6/20/2016	Spain	43.4627833333333	-3.65330833333333	0.18511867403335	0.81488132296665	9.9999999992e-10	9.9999999992e-10	9.9999999992e-10	1.2696514849614	L10_sorted.bam	2
L12	L12	Portsmouth	bienne	14	6/20/2016	Spain	42.7940388888889	-3.42474444444444	9.999999998e-10	0.880114493978898	0.119885503021102	9.999999998e-10	9.999999998e-10	1.33489658698616	L12_sorted.bam	2
L14	L14	Portsmouth	bienne	13	6/19/2016	Spain	43.0290166666667	-3.24035	0.999999996	9.9999999956e-10	9.9999999956e-10	9.9999999956e-10	9.9999999956e-10	1.26226541540502	L14_sorted.bam	1
L15	L15	Portsmouth	bienne	13	6/19/2016	Spain	43.0290166666667	-3.24035	0.999999996	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	1.58963380861095	L15_sorted.bam	1
L18	L18	Portsmouth	bienne	12	6/17/2016	Spain	42.3100833333333	3.15188888888889	9.9999999949e-10	9.9999999949e-10	9.9999999949e-10	9.9999999949e-10	0.999999996	1.04615962002419	L18_sorted.bam	5
L19	L19	Portsmouth	bienne	11	6/14/2016	Spain	38.3310527777778	-3.58085555555556	0.999999996	9.9999999947e-10	9.9999999947e-10	9.9999999947e-10	9.9999999947e-10	1.32469700497655	L19_sorted.bam	1
L2	L02	Juan	bienne	PdV	NA	France	43.25533	6.23802	9.999999994e-10	9.999999994e-10	9.999999994e-10	9.999999994e-10	0.999999996	1.2549801944272	L2_sorted.bam	5
L20	L20	Portsmouth	bienne	10	6/9/2016	Spain	37.8821111111111	-6.61780555555556	0.999999996	9.9999999944e-10	9.9999999944e-10	9.9999999944e-10	9.9999999944e-10	1.45945398159961	L20_sorted.bam	1
L22	L22	Portsmouth	bienne	9	6/9/2016	Spain	37.8085	-6.42880555555556	0.999999996	9.9999999956e-10	9.9999999956e-10	9.9999999956e-10	9.9999999956e-10	1.20286541918657	L22_sorted.bam	1
L23	L23	Portsmouth	bienne	9	6/9/2016	Spain	37.8085	-6.42880555555556	0.999999996	9.9999999975e-10	9.9999999975e-10	9.9999999975e-10	9.9999999975e-10	1.39391303282897	L23_sorted.bam	1
L24	L24	Portsmouth	bienne	8	6/8/2016	Spain	37.7019444444444	-5.83205555555556	0.999999996	9.9999999997e-10	9.9999999997e-10	9.9999999997e-10	9.9999999997e-10	0.0622181391348803	L24_sorted.bam	1
L25	L25	Portsmouth	bienne	8	6/8/2016	Spain	37.7019444444444	-5.83205555555556	0.999999996	9.9999999958e-10	9.9999999958e-10	9.9999999958e-10	9.9999999958e-10	1.20155982150121	L25_sorted.bam	1
L26	L26	Portsmouth	bienne	7	6/8/2016	Spain	38.2533611111111	-4.31738888888889	0.999999996	9.9999999948e-10	9.9999999948e-10	9.9999999948e-10	9.9999999948e-10	1.25182104509719	L26_sorted.bam	1
L27	L27	Portsmouth	bienne	7	6/8/2016	Spain	38.2533611111111	-4.31738888888889	0.999999996	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	1.42564066617512	L27_sorted.bam	1
L28	L28	Portsmouth	bienne	6	6/8/2016	Spain	37.9355111111111	-5.71117222222222	0.999999996	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	1.2769481998622	L28_sorted.bam	1
L29	L29	Portsmouth	bienne	6	6/8/2016	Spain	37.9355111111111	-5.71117222222222	0.999999996	9.9999999968e-10	9.9999999968e-10	9.9999999968e-10	9.9999999968e-10	0.989656898934391	L29_sorted.bam	1
L3	L03	Juan	bienne	PdV	NA	France	43.25533	6.23802	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	0.999999996	0.943274766808893	L3_sorted.bam	5
L30	L30	Portsmouth	bienne	5	6/7/2016	Spain	37.2585277777778	-6.09722222222222	0.999999996	9.9999999946e-10	9.9999999946e-10	9.9999999946e-10	9.9999999946e-10	1.39995922851853	L30_sorted.bam	1
L31	L31	Portsmouth	bienne	5	6/7/2016	Spain	37.2585277777778	-6.09722222222222	0.999999996	9.9999999949e-10	9.9999999949e-10	9.9999999949e-10	9.9999999949e-10	1.23317560259295	L31_sorted.bam	1
L32	L32	Portsmouth	bienne	4	6/5/2016	Spain	36.1508333333333	-5.70494444444444	0.999999996	9.9999999942e-10	9.9999999942e-10	9.9999999942e-10	9.9999999942e-10	1.55120083124152	L32_sorted.bam	1
L33	L33	Portsmouth	bienne	4	6/5/2016	Spain	36.1508333333333	-5.70494444444444	0.999999996	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	9.9999999951e-10	1.43830712428961	L33_sorted.bam	1
L35	L35	Portsmouth	bienne	3	6/5/2016	Spain	36.0363333333333	-5.55588888888889	0.999999996	9.9999999955e-10	9.9999999955e-10	9.9999999955e-10	9.9999999955e-10	1.24424127415621	L35_sorted.bam	1
L36	L36	Portsmouth	bienne	2	6/5/2016	Spain	36.0809166666667	-5.62552777777778	0.999999996	9.9999999955e-10	9.9999999955e-10	9.9999999955e-10	9.9999999955e-10	1.37306849985271	L36_sorted.bam	1
L37	L37	Portsmouth	bienne	2	6/5/2016	Spain	36.0809166666667	-5.62552777777778	0.999999996	9.9999999969e-10	9.9999999969e-10	9.9999999969e-10	9.9999999969e-10	1.03116965620525	L37_sorted.bam	1
L38	L38	Portsmouth	bienne	1	6/4/2016	Spain	36.8004444444444	-5.39258333333333	0.999999996	9.9999999953e-10	9.9999999953e-10	9.9999999953e-10	9.9999999953e-10	1.30970799951168	L38_sorted.bam	1
L39	L39	Portsmouth	bienne	1	6/4/2016	Spain	36.8004444444444	-5.39258333333333	0.999999996	9.9999999948e-10	9.9999999948e-10	9.9999999948e-10	9.9999999948e-10	1.33125655582972	L39_sorted.bam	1
L4	L04	Portsmouth	bienne	Bro	7/4/2016	France	47.1670388888889	-0.20705	9.9999999982e-10	0.999999996	9.9999999982e-10	9.9999999982e-10	9.9999999982e-10	1.08326608671465	L4_sorted.bam	2
L42	L42	Portsmouth	bienne	Sut	9/9/2016	UK	53.3529111111111	-0.959269444444444	9.9999999973e-10	0.999999996	9.9999999973e-10	9.9999999973e-10	9.9999999973e-10	1.28243229084633	L42_sorted.bam	2
L43	L43	Portsmouth	bienne	Tal	7/6/2016	France	47.6997	-3.45465	9.9999999975e-10	0.999999996	9.9999999975e-10	9.9999999975e-10	9.9999999975e-10	1.14328699515371	L43_sorted.bam	2
L44	L44	Portsmouth	bienne	Tal	7/6/2016	France	47.6997	-3.45465	9.9999999969e-10	0.999999996	9.9999999969e-10	9.9999999969e-10	9.9999999969e-10	1.4242251898754	L44_sorted.bam	2
L45	L45	Portsmouth	bienne	Tym	9/2/2016	UK	53.3030722222222	-3.55328055555556	9.9999999972e-10	0.999999996	9.9999999972e-10	9.9999999972e-10	9.9999999972e-10	1.28579773933069	L45_sorted.bam	2
L49	L49	Portsmouth	bienne	Vil	7/2/2016	France	45.0939305555556	-1.05033888888889	9.9999999967e-10	0.999999996	9.9999999967e-10	9.9999999967e-10	9.9999999967e-10	1.49068054758922	L49_sorted.bam	2
L5	L05	Portsmouth	bienne	Bro	7/4/2016	France	47.1670388888889	-0.20705	9.9999999958e-10	0.999999996	9.9999999958e-10	9.9999999958e-10	9.9999999958e-10	1.62509329481918	L5_sorted.bam	2
L50	L50	Portsmouth	bienne	Saf	7/5/2016	Spain	47.4961	-1.59253888888889	9.9999999944e-10	0.999999996	9.9999999944e-10	9.9999999944e-10	9.9999999944e-10	1.842733747158	L50_sorted.bam	2
L51	L51	Portsmouth	bienne	Roc	7/4/2016	France	47.3870194444444	-0.525738888888889	9.9999999957e-10	0.999999996	9.9999999957e-10	9.9999999957e-10	9.9999999957e-10	1.30420584529305	L51_sorted.bam	2
L53	L53	Portsmouth	bienne	Mat	6/29/2016	France	48.3569694444444	4.45863055555556	9.9999999957e-10	0.999999996	9.9999999957e-10	9.9999999957e-10	9.9999999957e-10	1.43002958619277	L53_sorted.bam	2
L58	L58	Portsmouth	bienne	Lla	7/21/2014	Spain	43.407375	-4.68752777777778	9.9999999952e-10	0.999999996	9.9999999952e-10	9.9999999952e-10	9.9999999952e-10	1.39711310672407	L58_sorted.bam	2
L6	L06	Portsmouth	bienne	BH	7/9/2017	UK	50.4004333333333	-3.4926	9.999999998e-10	0.999999996	9.999999998e-10	9.999999998e-10	9.999999998e-10	1.35518158668224	L6_sorted.bam	2
L60	L60	Portsmouth	bienne	LJLb1	NA	Spain	38.221069	-2.45397	0.158105155894945	0.837806760293512	9.9999999994e-10	0.00408808181154316	9.9999999994e-10	1.42440827345608	L60_sorted.bam	2
L61	L61	Portsmouth	bienne	LJLb1	NA	Spain	38.221069	-2.45397	0.152271268292451	0.847728591805763	9.9999999995e-10	1.3790178664006e-07	9.9999999995e-10	1.25956508994355	L61_sorted.bam	2
L63	L63	Portsmouth	bienne	Lil	7/9/2017	UK	51.2016666666667	-3.18693333333333	0.155014223690378	0.841759086171157	9.9999999995e-10	0.00322668813846505	9.9999999995e-10	1.40607389749889	L63_sorted.bam	2
L64	L64	Portsmouth	bienne	IOW2	9/24/2016	UK	50.6818333333333	-1.07491666666667	9.9999999958e-10	0.999999996	9.9999999958e-10	9.9999999958e-10	9.9999999958e-10	1.56602472147369	L64_sorted.bam	2
L65	L65	Portsmouth	bienne	IOW2	9/24/2016	UK	50.6818333333333	-1.07491666666667	9.9999999954e-10	0.999999996	9.9999999954e-10	9.9999999954e-10	9.9999999954e-10	1.59732074757411	L65_sorted.bam	2
L66	L66	Portsmouth	bienne	CR	7/8/2017	UK	51.2779333333333	-2.79501666666667	9.9999999963e-10	0.999999996	9.9999999963e-10	9.9999999963e-10	9.9999999963e-10	1.43989329198777	L66_sorted.bam	2
L68	L68	Portsmouth	bienne	CGa1	6/6/2017	Italy	38.2165	13.3218333333333	9.9999999969e-10	9.9999999969e-10	9.9999999969e-10	9.9999999969e-10	0.999999996	1.50800351209247	L68_sorted.bam	5
L75	L75	Warwick	bienne	W65	NA	Croatia	44.0541648864746	16.6944446563721	9.9999999959e-10	0.609396186563191	0.390603810436809	9.9999999959e-10	9.9999999959e-10	2.19586201123524	L75_sorted.bam	2
L76	L76	Warwick	bienne	W70	NA	Greece	40.0427780151367	20.4488887786865	9.9999999968e-10	9.9999999968e-10	0.999999996	9.9999999968e-10	9.9999999968e-10	2.36823532737631	L76_sorted.bam	3
L77	L77	Warwick	bienne	W72	NA	Greece	39.1049995422363	21.2147216796875	9.9999999976e-10	9.9999999976e-10	0.919802800137726	0.0801971968622742	9.9999999976e-10	2.71922632272581	L77_sorted.bam	3
L78	L78	Warwick	bienne	W74	NA	Greece	39.1236114501953	22.0236110687256	9.9999999936e-10	9.9999999936e-10	0.999999996	9.9999999936e-10	9.9999999936e-10	2.33984310143567	L78_sorted.bam	3
L79	L79	Warwick	bienne	W76	NA	Greece	39.9155540466309	21.7997226715088	9.9999999931e-10	9.9999999931e-10	0.999999996	9.9999999931e-10	9.9999999931e-10	2.45201049619734	L79_sorted.bam	3
L8	L08	Portsmouth	bienne	19	7/15/2016	Spain	42.1708861111111	-8.68381944444444	0.999999996	9.9999999972e-10	9.9999999972e-10	9.9999999972e-10	9.9999999972e-10	1.21461183209735	L8_sorted.bam	1
L80	L80	Warwick	bienne	W77	NA	Greece	40.0875015258789	21.7222213745117	9.9999999931e-10	9.9999999931e-10	0.999999996	9.9999999931e-10	9.9999999931e-10	2.46886476230602	L80_sorted.bam	3
L81	L81	Warwick	bienne	W81	NA	Greece	40.5236129760742	23.9347229003906	9.9999999973e-10	0.0372324289561408	0.962767568043859	9.9999999973e-10	9.9999999973e-10	1.12048989326447	L81_sorted.bam	3
L82	L82	Warwick	bienne	W82	NA	Greece	40.5911102294922	23.8038883209229	9.9999999955e-10	0.113597978407826	0.886402018592173	9.9999999955e-10	9.9999999955e-10	1.93982009334723	L82_sorted.bam	3
L83	L83	Warwick	bienne	W85	NA	Bulgaria	41.8166656494141	23.950834274292	9.9999999965e-10	0.278108956521464	0.721891040478536	9.9999999965e-10	9.9999999965e-10	2.32528978966355	L83_sorted.bam	3
L85	L85	Warwick	bienne	W94	NA	Croatia	45.2188873291016	18.3238887786865	9.9999999949e-10	0.999999996	9.9999999949e-10	9.9999999949e-10	9.9999999949e-10	2.327606931644	L85_sorted.bam	2
L86	L86	Warwick	bienne	W95	NA	Croatia	45.3922233581543	16.3152770996094	9.9999999962e-10	0.65879181713082	0.34120817986918	9.9999999962e-10	9.9999999962e-10	2.10104367793846	L86_sorted.bam	2
L87	L87	Warwick	bienne	W96	NA	Croatia	45.6141662597656	15.430832862854	9.9999999971e-10	0.999999996	9.9999999971e-10	9.9999999971e-10	9.9999999971e-10	1.46184949037419	L87_sorted.bam	2
